Fan,Refrigerator,AirConditioner,Television,Monitor,Month,MonthlyHours,TariffRate,City_Ahmedabad,City_Chennai,City_Dahej,City_Faridabad,City_Gurgaon,City_Hyderabad,City_Kolkata,City_Mumbai,City_Nagpur,City_Navi Mumbai,City_New Delhi,City_Noida,City_Pune,City_Ratnagiri,City_Shimla,City_Vadodara,ElectricityBill
3,5,3,1,1,10,384,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3225.6000000000004
4,4,3,1,1,5,488,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3806.4
1,3,3,1,3,7,416,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3203.2000000000003
1,4,5,4,1,6,475,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4370.0
2,5,3,2,1,2,457,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4204.4
2,4,1,4,1,6,471,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3485.4
5,4,5,4,5,5,755,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6417.5
4,5,1,4,1,12,492,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4182.0
1,3,3,2,1,8,546,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4641.0
2,5,1,4,3,1,578,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4392.8
3,4,5,3,1,6,450,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555.0
1,2,3,4,1,12,493,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4535.599999999999
2,5,2,5,1,9,492,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4132.8
2,4,5,4,1,11,565,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463.5
3,4,2,1,5,7,414,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3394.7999999999997
4,5,5,1,1,12,594,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5286.6
1,3,5,1,1,2,349,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071.2000000000003
3,4,1,1,1,4,355,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2698.0
2,5,1,4,1,3,467,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3969.5
2,4,2,4,5,11,646,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5491.0
5,5,1,3,1,8,476,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4379.2
4,4,5,1,5,2,659,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4876.6
5,4,3,3,1,7,631,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5111.099999999999
1,4,5,1,1,4,395,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3199.5
4,4,3,2,1,3,480,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3935.999999999999
4,5,1,4,1,12,678,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6034.2
4,5,3,2,1,8,664,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5378.4
1,4,3,3,1,8,515,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4583.5
4,4,1,4,1,7,509,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4122.9
5,4,1,3,1,9,679,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5499.9
5,5,5,4,1,4,564,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4737.6
5,5,1,2,1,4,412,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3790.4
3,4,3,4,1,12,468,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3790.8
2,5,1,4,1,8,452,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3932.4
1,3,5,3,1,10,447,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4067.7
2,4,5,1,1,10,361,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3068.5
2,4,3,1,1,2,442,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3668.6
1,3,1,4,1,1,307,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2517.3999999999996
3,4,1,4,1,10,494,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4050.8
4,4,5,3,1,4,699,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6360.9
1,5,3,3,1,6,549,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4227.3
1,1,5,1,1,7,385,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3195.5000000000005
1,4,1,2,3,12,491,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4173.5
2,3,2,5,1,6,646,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4909.599999999999
2,5,3,2,1,6,546,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4859.400000000001
4,5,3,1,1,6,636,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4960.8
4,4,1,2,5,2,401,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3488.7
1,4,3,2,1,7,360,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2736.0
2,4,3,2,1,9,539,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4204.2
2,4,3,1,5,7,577,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5366.1
1,5,5,3,1,5,673,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5720.5
1,3,1,3,1,10,443,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3854.1
2,4,2,1,1,11,398,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3303.4
2,4,2,1,5,1,653,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6072.900000000001
1,3,1,1,1,12,421,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3536.4
2,2,1,1,1,6,421,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704.8
3,4,3,3,1,4,650,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5720.000000000001
3,4,3,3,1,6,484,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3823.6
4,5,3,4,1,6,737,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6043.4
3,4,3,2,1,2,405,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3725.999999999999
1,5,5,2,1,4,458,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3847.2
3,4,2,2,1,8,466,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3541.6
2,5,2,3,1,8,456,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3830.4
3,4,5,2,1,4,394,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3624.8
